Spieltag	Datum	Uhrzeit	Platz	Partie
1	9/3/2020	19.15	1	Exozet vs. Onefootball
1	9/3/2020	19.15	1	taz vs. Berlinomat
1	9/3/2020	19.15	2	Correctiv & Özgürüz vs. Honolulu Hotel
1	9/3/2020	19.15	2	Radio Eins vs. RTL
1	9/3/2020	20.15	1	SOCIAL SOCIAL  vs. ZEIT ONLINE
1	9/3/2020	20.15	1	Deutsche Autorennationalmannschaft vs. Berliner Helden
1	9/3/2020	20.15	2	rbb Abendschau vs. BITKOM
1	9/3/2020	20.15	2	11 Freunde vs. Yorck
				
2	7/9/2020	19.15	1	Onefootball vs. Correctiv & Özgürüz
2	7/9/2020	19.15	1	BITKOM vs. Yorck
2	7/9/2020	19.15	2	ZEIT ONLINE vs. taz
2	7/9/2020	19.15	2	11 Freunde vs. Deutsche Autorennationalmannschaft
2	7/9/2020	20.15	1	Exozet vs. SOCIAL SOCIAL 
2	7/9/2020	20.15	1	Berliner Helden vs. rbb Abendschau
2	7/9/2020	20.15	2	Berlinomat vs. RTL
2	7/9/2020	20.15	2	Honolulu Hotel vs. Radio Eins
				
3	21/9/2020	19.15	1	Berliner Helden vs. 11 Freunde
3	21/9/2020	19.15	1	Yorck vs. rbb Abendschau
3	21/9/2020	19.15	2	Honolulu Hotel vs. Exozet
3	21/9/2020	19.15	2	BITKOM vs. Deutsche Autorennationalmannschaft
3	21/9/2020	20.15	1	ZEIT ONLINE vs. Onefootball
3	21/9/2020	20.15	1	Radio Eins vs. taz
3	21/9/2020	20.15	2	RTL vs. Correctiv & Özgürüz
3	21/9/2020	20.15	2	Berlinomat vs. SOCIAL SOCIAL 
				
4	19/10/2020	19.15	1	11 Freunde vs. SOCIAL SOCIAL 
4	19/10/2020	19.15	1	Berliner Helden vs. Radio Eins
4	19/10/2020	19.15	2	Exozet vs. rbb Abendschau
4	19/10/2020	19.15	2	Onefootball vs. taz
4	19/10/2020	20.15	1	ZEIT ONLINE vs. Yorck
4	19/10/2020	20.15	1	BITKOM vs. Berlinomat
4	19/10/2020	20.15	2	Honolulu Hotel vs. RTL
4	19/10/2020	20.15	2	Deutsche Autorennationalmannschaft vs. Correctiv & Özgürüz
				
5	2/11/2020	19.15	1	taz vs. Honolulu Hotel
5	2/11/2020	19.15	1	Radio Eins vs. BITKOM
5	2/11/2020	19.15	2	Yorck vs. Berlinomat
5	2/11/2020	19.15	2	Correctiv & Özgürüz vs. Berliner Helden
5	2/11/2020	20.15	1	RTL vs. 11 Freunde
5	2/11/2020	20.15	1	rbb Abendschau vs. ZEIT ONLINE
5	2/11/2020	20.15	2	SOCIAL SOCIAL  vs. Onefootball
5	2/11/2020	20.15	2	Deutsche Autorennationalmannschaft vs. Exozet
				
6	23/11/2020	19.15	1	ZEIT ONLINE vs. Honolulu Hotel
